id,practice_id,ehr_ID
121,1,307671
122,1,295087
123,1,305915
124,1,280790
125,1,355967
126,1,222616
127,1,363858
128,1,322340
129,1,313546
130,1,323242
131,1,126090
132,1,361841
133,1,227398
134,1,247374
135,1,322338
136,1,227396
137,1,361167
138,1,203780
139,1,278829
140,1,308665
141,1,300879
142,1,291369
143,1,361902
144,1,218262
145,1,294353
146,1,364890
147,1,361839
148,1,263951
149,1,355449
150,1,237234
151,1,126092
152,1,313879
153,1,274118
154,1,250651
155,1,314808
156,1,254024
157,1,303000
158,1,355806
159,1,323350
160,1,365073
161,1,359589
162,1,363554
163,1,126096
164,1,364840
165,1,322448
166,1,310010
167,1,326046
168,1,361164
169,1,270347
170,1,199056
171,1,328492
172,1,295501
173,1,236893
174,1,305262
175,1,126094
176,1,238018
177,1,263150
178,1,263286
179,1,206278
180,1,318324
181,1,216674
182,1,239743
183,1,320903
184,1,291372
185,1,262269
186,1,325917
187,1,322341
188,1,361863
189,1,253929
190,1,309544
191,1,242905
192,1,222614
193,1,364516
194,1,318145